11/9/2013 2:10:00 PM	36	[123.72, 93.56, 30.64, 14.94, 1022.0, 25.89, 7.11]	[3043.70062, 1011.19136, 123.17515, 0.05247, 0.0, 3.4321, 0.20988]
11/9/2013 3:09:00 PM	36	[95.92, 78.97, 25.19, 15.89, 1022.0, 20.61, 10.56]	[2488.52083, 1220.13812, 108.3233, 0.09877, 0.0, 3.51543, 1.58025]
11/9/2013 4:11:00 PM	36	[72.0, 68.69, 22.83, 15.83, 1022.17, 19.17, 8.67]	[1622.66667, 922.60108, 111.19444, 0.13889, 0.13889, 0.13889, 0.55556]
11/9/2013 6:09:00 PM	36	[32.81, 40.5, 17.03, 12.0, 1024.0, 26.0, 7.0]	[1565.54552, 726.36111, 132.58256, 0.0, 0.0, 0.0, 0.0]
11/10/2013 10:16:00 AM	36	[16.67, 28.19, 10.69, 2.92, 1032.0, 9.03, 15.92]	[472.22222, 515.98997, 50.48997, 0.13194, 0.0, 0.02701, 0.24306]
11/10/2013 11:09:00 AM	36	[16.81, 27.0, 9.5, 4.92, 1032.0, 6.11, 16.0]	[400.15664, 596.72222, 37.52778, 0.13194, 0.0, 0.26543, 0.0]
11/10/2013 12:09:00 PM	36	[15.28, 24.78, 8.31, 6.92, 1030.08, 5.06, 16.0]	[258.70062, 393.56173, 29.37886, 0.13194, 0.13194, 0.05247, 0.0]
11/10/2013 1:09:00 PM	36	[15.89, 28.17, 7.81, 7.33, 1028.67, 5.0, 18.0]	[330.65432, 468.75, 30.8233, 0.22222, 0.22222, 0.0, 0.0]
11/10/2013 9:09:00 PM	36	[86.75, 73.42, 30.33, 8.03, 1025.94, 12.83, 11.0]	[1954.90972, 639.29861, 196.11111, 0.02701, 0.05247, 0.36111, 0.22222]
11/10/2013 10:09:00 PM	36	[90.0, 74.83, 30.36, 3.19, 1026.97, 19.92, 4.47]	[2258.88889, 559.97222, 181.95293, 0.71219, 0.02701, 1.57639, 2.52701]
11/10/2013 11:11:00 PM	36	[84.89, 70.72, 28.86, 3.03, 1027.97, 23.94, 7.06]	[2342.98765, 688.9784, 175.17515, 0.02701, 0.02701, 0.10802, 0.10802]
